0,1,2,3,4,5,weeksToHouse
2,55,5,3,1,1,1250.617823095673
1,25,1,3,1,1,678.2818699287315
2,28,5,5,2,1,1105.2905547157013
2,25,1,3,1,1,414.68654552185774
1,53,2,3,1,1,959.2860156418718
2,27,1,2,1,1,239.0794627155766
1,56,4,3,1,1,1335.092829266036
1,75,3,5,2,1,1168.7408370098417
1,30,4,2,1,1,1061.1151544133536
1,53,2,4,1,1,1141.9195693086103
2,21,4,5,1,1,1313.8013721346379
2,25,2,2,1,1,414.68654552185853
1,27,1,5,1,1,1050.5754481226654
2,28,3,1,1,1,425.2262518125452
1,56,5,2,1,1,1335.092829266037
2,31,4,5,1,1,1348.9337264369237
2,56,2,5,1,1,1071.497504859161
2,43,1,1,1,1,112.65767593249609
1,62,1,4,1,1,990.9051345139286
2,30,3,5,2,1,747.0499182426802
2,58,4,1,1,1,713.2568683861429
1,31,3,1,1,1,699.3612825101047
1,56,4,3,1,1,1335.092829266036
2,41,1,5,1,1,836.1654197389923
2,20,4,1,2,1,164.0169029401797
2,28,3,4,2,1,557.3898937154846
2,30,4,1,2,1,199.14925724246586
2,38,5,1,1,1,825.6257134483097
1,38,4,5,1,1,1637.1216988553979
1,36,2,5,2,1,849.0911015641866
2,82,2,5,1,1,1162.841626045105
2,23,1,2,1,1,225.02652099466218
2,38,4,1,1,1,642.9921597815705
2,67,5,1,1,1,927.5095409249395
2,38,4,2,1,1,825.6257134483088
1,65,4,4,1,1,1549.345501804832
2,52,3,4,1,1,1057.444563138247
2,42,3,4,1,1,1022.3122088359609
1,33,1,1,1,1,341.1206460370836
1,33,4,1,1,1,889.0213070373012
1,26,3,2,1,1,864.4286590257001
1,40,2,4,1,1,1096.247508715638
2,22,5,1,2,1,353.6769274673761
2,41,1,5,1,1,836.1654197389923
1,56,5,3,1,1,1517.7263829327753
2,57,5,4,1,1,1440.2778476228686
2,26,5,5,1,1,1514.00110295252
2,33,5,5,1,1,1538.5937509641203
1,21,5,1,1,1,1029.4960355412968
1,25,1,3,1,1,678.2818699287315
2,23,2,4,2,1,357.19016289760225
1,27,4,1,1,1,867.9418944559294
2,36,5,1,1,1,818.5992425878525
2,60,4,4,1,1,1268.1840002468152
2,32,5,3,1,1,1169.8134082004149
1,30,1,1,1,1,330.5809397463978
2,42,2,3,1,1,657.0451015024834
1,50,2,3,1,1,948.7463093511859
2,31,2,1,1,1,253.13240443649187
2,77,3,2,2,1,364.27132246321
1,25,1,4,1,1,860.9154235954699
1,32,1,2,1,1,520.2409642735934
1,56,2,2,1,1,787.1921682658193
2,31,4,5,1,1,1348.9337264369237
1,55,1,2,1,1,601.0453791688516
1,38,1,5,1,1,1089.2210378551802
2,43,5,1,1,1,843.1918905994528
1,23,5,4,1,1,1584.4231674019693
2,27,3,4,1,1,969.6136773825317
1,35,2,5,2,1,845.577866133958
1,68,1,4,1,1,1011.9845470953003
1,31,2,3,2,1,466.2578170795666
1,66,4,4,1,1,1552.8587372350607
2,30,5,4,1,1,1345.420491006696
1,36,5,5,1,1,1812.72878166168
2,31,3,5,1,1,1166.3001727701844
1,32,1,1,2,1,-78.12960849042065
1,38,1,1,2,1,-57.050195909048966
1,56,5,1,1,1,1152.4592755992985
2,31,4,1,1,1,618.3995117699702
1,37,4,1,1,1,903.0742487582156
1,22,5,4,1,1,1580.9099319717407
1,43,1,3,1,1,741.5201076728465
1,28,3,2,1,1,871.4551298861572
1,21,2,5,1,1,1212.129589208033
2,53,4,1,1,1,695.6906912349997
2,68,4,3,1,1,1113.6563300219057
2,31,4,1,1,1,618.3995117699702
1,25,4,1,1,1,860.9154235954722
1,62,2,4,2,1,757.801669083392
1,31,4,1,1,1,881.9948361768439
1,32,2,5,1,1,1250.775178940548
2,37,1,3,1,1,456.8453706846011
2,42,3,2,1,1,657.0451015024842
2,31,2,2,2,1,20.0289390059545
1,31,3,5,1,1,1429.8954971770581
2,28,5,4,1,1,1338.3940201462387
1,55,5,1,1,1,1148.9460401690699
1,33,4,2,1,1,1071.6548607040395
1,62,4,1,1,1,990.905134513931
2,63,1,1,1,1,182.9223845370684
1,56,4,5,1,1,1700.3599365995128
2,68,2,1,1,1,383.1221153549506
1,32,4,2,1,1,1068.1416252738109
2,32,5,2,1,1,987.1798545336763
2,26,2,3,1,1,600.8333346188256
1,62,3,2,1,1,990.9051345139302
2,28,1,1,2,1,-355.7778746182089
1,42,2,1,2,1,139.6362994786046
1,31,5,3,2,1,1014.1584780797841
2,31,4,1,1,1,618.3995117699702
2,81,3,3,1,1,976.6948369481385
1,28,2,3,1,1,871.4551298861564
2,33,5,5,2,1,1122.8567318668445
2,22,1,2,1,1,221.51328556443355
1,62,1,1,1,1,443.0044735137135
2,88,2,3,1,1,818.6539312929996
1,37,2,3,1,1,903.0742487582139
1,37,2,4,1,1,1085.7078024249522
1,25,5,5,1,1,1774.083191929165
2,58,4,4,1,1,1261.157529386358
1,35,1,2,1,1,530.7806705642793
1,70,5,2,1,1,1384.2781252892373
2,37,1,2,1,1,274.2118170178628
1,22,5,5,1,1,1763.543485638479
2,26,3,3,1,1,783.4668882855647
1,25,2,3,1,1,860.9154235954705
2,26,2,2,1,1,418.19978095208717
2,33,2,1,2,1,-155.57814380032664
1,25,2,4,1,1,1043.548977262209
1,40,2,2,1,1,730.9804013821614
1,30,2,5,1,1,1243.7487080800906
1,43,3,3,1,1,1106.787215006325
1,37,4,2,2,1,669.9707833276783
1,26,3,1,1,1,681.7951053589617
2,33,1,3,1,1,442.7924289636867
2,57,2,1,2,1,-71.2604934748399
1,30,1,1,1,1,330.5809397463978
2,28,3,5,2,1,740.0234473822231
1,30,5,4,1,1,1609.0158154135697
2,33,2,4,1,1,808.0595362971643
2,25,1,2,2,1,-183.6840272421564
2,33,3,2,1,1,625.4259826304267
2,61,3,4,2,1,673.3266629130289
2,36,1,2,1,1,270.6985815876342
2,30,4,5,1,1,1345.420491006695
2,20,4,3,1,1,945.0210293709322
1,32,2,3,1,1,885.508071607071
1,31,4,3,2,1,831.5249244130448
2,43,4,4,2,1,792.7219788356531
1,31,1,5,2,1,648.8913707463042
2,28,2,1,1,1,242.59269814580603
1,77,3,4,1,1,1408.8707733008364
1,35,5,1,1,1,1078.6813315644977
1,35,3,1,1,1,713.4142242310191
2,22,3,2,2,1,171.04337380063612
2,40,2,4,1,1,832.6521843087645
2,27,4,2,1,1,786.9801237157941
2,37,4,2,1,1,822.1124780180803
2,25,4,4,1,1,1145.2207601888135
1,38,5,1,1,1,1089.2210378551836
2,43,2,5,1,1,1025.8254442661887
2,33,2,4,1,1,808.0595362971643
1,43,3,3,2,1,691.0501959090491
2,37,5,3,1,1,1187.379585351558
1,66,3,2,1,1,1004.9580762348446
2,36,2,4,1,1,818.59924258785
2,28,3,1,1,1,425.2262518125452
1,43,2,5,2,1,873.6837495757868
2,30,1,5,2,1,381.7828109092019
2,20,1,4,2,1,164.01690294017737
1,55,4,2,1,1,1148.946040169069
2,66,2,3,1,1,741.3627518279701
1,20,4,3,1,1,1208.6163537778061
2,28,2,5,1,1,973.1269128127595
2,36,3,5,2,1,768.129330824052
1,31,4,4,1,1,1429.895497177059
1,58,2,2,1,1,794.2186391262766
1,61,4,4,1,1,1535.2925600839176
2,26,5,2,1,1,966.1004419523048
1,32,5,1,1,1,1068.1416252738118
2,20,2,4,2,1,346.6504566069166
1,60,1,2,1,1,618.6115563199946
2,25,5,2,1,1,962.5872065220761
1,21,1,5,1,1,1029.4960355412938
1,23,4,5,1,1,1584.4231674019684
1,27,2,5,1,1,1233.2090017894047
2,37,4,2,2,1,406.3754589208046
2,32,2,4,1,1,804.5463008669357
2,25,3,1,1,1,414.68654552185933
2,33,4,2,1,1,808.0595362971659
2,32,5,1,1,1,804.546300866938
2,28,1,4,2,1,192.12278638200632
1,36,5,2,1,1,1264.8281206614647
2,20,5,1,1,1,762.3874757041946
1,55,1,2,1,1,601.0453791688516
1,21,1,2,1,1,481.5953745410786
2,33,1,2,1,1,260.15887529694834
2,31,1,2,1,1,253.13240443649107
1,63,5,1,1,1,1177.051923610899
1,31,4,1,1,1,881.9948361768439
2,22,2,2,1,1,404.1468392311727
1,37,2,4,2,1,669.9707833276766
2,32,2,5,1,1,987.1798545336741
2,22,1,2,2,1,-194.22373353284218
1,83,1,1,1,1,516.7824175485144
2,32,3,4,1,1,987.1798545336748
2,43,5,2,1,1,1025.8254442661912
1,65,5,5,2,1,1498.8755900410338
2,22,2,4,1,1,769.4139465646496
2,20,5,1,1,1,762.3874757041946
1,62,5,5,1,1,1904.072902847624
2,28,2,2,2,1,9.4892327152686
2,26,4,3,2,1,550.3634228550281
2,43,1,3,1,1,477.9247832659728
1,52,2,3,1,1,955.7727802116432
1,32,2,4,1,1,1068.1416252738095
2,28,2,3,1,1,607.8598054792828
1,38,1,4,1,1,906.5874841884419
2,41,3,3,1,1,836.1654197389938
2,32,3,4,1,1,987.1798545336748
1,42,2,4,1,1,1103.2739795760954
2,70,2,1,1,1,390.1485862154079
2,51,3,5,1,1,1236.564881374757
1,32,2,4,1,1,1068.1416252738095
1,35,2,3,1,1,896.0477778977569
1,61,1,4,1,1,987.3918990837001
2,41,1,2,1,1,288.26475873877723
1,23,3,1,2,1,255.51837997100006
1,77,5,1,1,1,1226.2372196340993
2,42,1,2,2,1,-123.95902492826986
2,37,3,2,1,1,639.4789243513411
1,63,1,1,2,1,30.780689846666405
1,40,2,5,1,1,1278.8810623823765
1,26,1,3,1,1,681.7951053589601
2,33,1,3,2,1,27.05540986641097
1,40,4,2,1,1,1096.24750871564
2,32,1,3,1,1,439.27919353345806
2,72,4,2,1,1,945.0757180760818
2,31,4,5,1,1,1348.9337264369237
1,32,1,4,1,1,885.5080716070702
2,67,5,5,1,1,1658.043755591893
2,60,3,3,1,1,902.9168929133376
1,30,4,5,1,1,1609.0158154135688
2,22,5,2,1,1,952.0475002313902
2,22,5,2,1,1,952.0475002313902
1,33,4,1,1,1,889.0213070373012
1,27,4,2,2,1,634.8384290253921
1,60,3,5,1,1,1531.779324653688
1,28,4,2,1,1,1054.0886835528963
1,26,3,1,1,1,681.7951053589617
2,41,4,1,1,1,653.5318660722563
1,35,2,3,1,1,896.0477778977569
1,22,5,3,1,1,1398.2763783050023
2,32,5,2,2,1,571.4428354364006
1,37,2,3,1,1,903.0742487582139
1,35,5,1,1,1,1078.6813315644977
2,37,5,3,1,1,1187.379585351558
2,31,5,2,1,1,983.6666191034477
2,57,4,2,1,1,892.3771866226525
2,20,2,4,2,2,346.6504566069166
1,27,2,2,2,1,269.5713216919137
1,31,1,4,1,1,881.9948361768415
2,52,1,5,1,1,874.8110094715073
2,25,1,2,1,1,232.0529918551194
2,51,1,2,1,1,323.39711304106345
2,53,4,2,1,1,878.3242449017381
1,28,5,4,1,1,1601.9893445531125
2,23,4,5,1,1,1320.8278429950947
2,53,5,5,1,1,1608.8584595686925
1,68,5,3,1,1,1559.8852080955185
2,53,5,4,1,1,1426.2249059019541
2,23,2,4,1,1,772.927181994878
1,20,4,4,1,1,1391.2499074445445
1,66,1,1,1,1,457.0574152346279
1,50,5,4,1,1,1679.280524018142
2,31,5,5,1,1,1531.567280103663
1,40,3,4,1,1,1278.8810623823774
1,25,3,1,1,1,678.281869928733
2,38,1,1,1,1,95.09149878135304
1,33,4,4,1,1,1436.9219680375163
2,28,4,5,1,1,1338.3940201462378
2,23,3,3,1,1,772.9271819948788
2,35,5,5,1,1,1545.6202218245776
2,28,3,4,1,1,973.1269128127603
2,20,2,5,1,1,945.0210293709307
2,60,2,3,1,1,720.2833392465985
2,25,5,3,1,1,1145.2207601888144
2,72,3,4,2,1,711.9722526455437
2,35,2,5,1,1,997.71956082436
1,23,4,1,1,1,853.888952735015
2,26,3,4,2,1,550.3634228550274
2,31,5,1,1,1,801.0330654367094
2,62,4,5,1,1,1457.844024774011
1,75,4,5,1,1,1767.1114097738568
2,77,5,3,1,1,1327.9090025607024
2,31,2,1,1,1,253.13240443649187
1,25,5,5,1,1,1774.083191929165
2,32,3,5,1,1,1169.813408200413
2,56,5,5,1,1,1619.3981658593784
2,58,3,5,1,1,1261.157529386357
2,60,3,5,1,1,1268.1840002468143
1,82,2,1,1,1,695.9027357850249
2,42,4,1,1,1,657.045101502485
2,77,3,4,1,1,1145.2754488939624
1,57,1,2,1,1,608.0718500293087
2,21,4,2,1,1,765.9007111344224
1,67,2,1,1,1,643.2042043315956
1,71,2,5,1,1,1387.7913607194637
2,66,5,3,1,1,1289.263412828188
2,27,3,3,1,1,786.9801237157933
1,32,1,1,1,1,337.60741060685507
1,62,5,5,2,1,1488.335883750348
1,78,1,4,1,1,1047.1169013975864
1,32,3,4,1,1,1250.7751789405484
2,37,3,4,2,1,589.0090125875421
2,43,1,5,1,1,843.1918905994496
2,25,1,1,1,1,49.41943818838104
1,60,2,3,1,1,983.8786636534722
1,28,1,3,1,1,688.8215762194174
2,55,3,4,1,1,1067.9842694289327
2,27,1,4,1,1,604.3465700490534
1,38,5,4,1,1,1637.1216988553988
2,27,1,4,1,1,604.3465700490534
2,71,4,4,1,1,1306.8295899793302
2,41,2,5,1,1,1018.7989734057315
1,36,3,1,1,1,716.9274596612478
2,31,5,1,1,1,801.0330654367094
2,41,1,5,1,1,836.1654197389923
1,31,2,1,1,1,516.7277288433656
2,37,4,1,2,1,223.74190525406618
2,26,2,3,1,1,600.8333346188256
2,38,3,4,2,1,592.5222480177707
1,32,1,5,1,1,1068.1416252738086
2,72,2,3,1,1,762.4421644093419
1,75,5,4,1,1,1767.1114097738573
1,33,2,1,1,1,523.7541997038228
1,35,1,5,1,1,1078.6813315644945
1,32,3,3,1,1,1068.14162527381
1,67,2,3,1,1,1008.4713116650724
1,36,3,5,2,1,1031.7246552309257
2,36,5,5,2,1,1133.3964381575304
1,22,5,5,1,1,1763.543485638479
1,35,5,2,1,1,1261.314885231236
1,37,2,3,1,1,903.0742487582139
1,38,3,3,1,1,1089.2210378551817
1,26,2,4,1,1,1047.0622126924377
2,32,1,2,2,1,-159.09137923055596
2,50,2,4,1,1,867.7845386110506
1,31,2,1,1,1,516.7277288433656
2,38,1,4,1,1,642.9921597815681
1,61,3,2,1,1,987.3918990837016
2,50,1,2,1,1,319.8838776108348
1,52,2,1,1,1,590.5056728781665
2,38,5,1,1,1,825.6257134483097
1,25,2,1,1,1,495.6483162619939
1,28,1,2,1,1,506.18802255267894
1,32,1,1,1,1,337.60741060685507
2,21,5,1,1,1,765.9007111344232
2,21,4,1,1,1,583.267157467684
2,41,5,1,1,1,836.1654197389955
2,33,2,1,2,1,-155.57814380032664
1,32,1,5,1,1,1068.1416252738086
1,63,1,3,1,1,811.7848162774188
1,26,3,4,2,1,813.9587472619012
2,52,2,1,1,1,326.9103484712928
2,51,4,1,1,1,688.6642203745425
2,20,1,1,1,1,31.853261037237928
2,31,3,4,1,1,983.6666191034461
2,82,1,5,1,1,980.2080723783656
1,51,5,4,1,1,1682.7937594483706
2,32,2,4,2,1,388.80928176965995
2,26,4,4,1,1,1148.7339956190422
2,43,5,3,1,1,1208.4589979329294
2,30,5,3,1,1,1162.7869373399576
1,22,5,1,1,1,1033.0092709715254
2,73,5,4,1,1,1496.4896145065263
1,42,4,3,1,1,1285.9075332428356
2,33,1,3,1,1,442.7924289636867
2,30,2,4,1,1,797.5198300064784
2,20,4,3,1,1,945.0210293709322
1,30,5,4,1,1,1609.0158154135697
2,58,5,2,1,1,1078.5239757196205
2,21,3,4,1,1,948.53426480116
2,73,5,1,1,1,948.5889535063112
2,38,1,3,1,1,460.35860611482974
2,30,3,3,1,1,797.5198300064791
1,38,4,1,1,1,906.5874841884443
1,68,2,4,1,1,1194.6181007620394
2,30,5,1,1,1,797.5198300064808
1,36,4,2,1,1,1082.1945669947254
2,30,5,5,2,1,1112.3170255761586
2,28,5,4,1,1,1338.3940201462387
2,42,5,3,1,1,1204.9457625027007
2,52,5,2,1,1,1057.4445631382487
2,36,5,5,1,1,1549.1334572548062
2,72,4,4,1,1,1310.3428254095588
1,25,3,2,2,2,445.17840449819573
2,37,2,5,1,1,1004.7460316848172
1,30,2,4,1,1,1061.1151544133522
1,35,4,4,1,1,1443.9484388979736
1,27,3,4,1,1,1233.2090017894056
2,38,5,2,1,1,1008.2592671150481
1,27,4,5,1,1,1598.476109122883
2,31,1,1,1,1,70.49885076975272
2,82,2,4,1,2,980.2080723783664
1,23,5,5,1,1,1767.0567210687077
1,63,2,3,1,1,994.4183699441579
2,38,1,2,1,1,277.7250524480914
1,36,1,4,1,1,899.5610133279846
1,38,3,2,1,1,906.5874841884435
1,61,3,2,1,1,987.3918990837016
1,25,5,4,1,1,1591.4496382624266
1,31,1,1,1,1,334.09417517662644
1,25,4,3,1,1,1226.1825309289488
1,30,3,1,1,1,695.8480470798761
1,38,3,5,1,1,1454.4881451886586
1,32,4,4,1,1,1433.4087326072877
1,30,4,2,1,1,1061.1151544133536
2,68,5,1,1,1,931.0227763551682
1,25,4,4,1,1,1408.8160845956872
2,33,1,5,1,1,808.0595362971635
2,68,5,2,1,1,1113.6563300219066
1,26,2,2,1,1,681.7951053589609
1,73,3,2,1,1,1029.550724246445
2,38,2,4,1,1,825.6257134483072
1,51,3,4,1,1,1317.5266521148924
1,43,1,4,1,1,924.1536613395849
1,22,3,1,1,1,667.7421636380471
1,52,5,2,2,1,905.3028684478468
1,32,4,5,1,1,1616.042286274026
2,35,1,1,1,1,84.55179249066714
2,56,1,2,1,1,340.9632901922065
2,25,2,5,1,1,962.5872065220736
2,61,2,3,1,1,723.7965746768272
2,30,3,3,2,1,381.78281090920336
2,22,2,1,2,1,-194.22373353284138
1,76,2,5,1,1,1405.3575378706068
1,25,4,4,1,1,1408.8160845956872
1,68,3,5,2,1,1144.1481889982413
1,23,3,1,1,1,671.2553990682758
1,43,5,3,1,1,1472.054322339803
2,55,3,5,1,1,1250.6178230956712
1,21,3,2,1,1,846.8624818745569
2,41,3,4,1,1,1018.7989734057322
2,27,4,2,1,1,786.9801237157941
2,21,3,5,2,1,715.4307993706227
2,32,4,4,1,1,1169.813408200414
2,20,3,1,2,1,-18.616650726559556
2,32,3,4,1,1,987.1798545336748
1,58,2,2,1,1,794.2186391262766
1,38,1,1,1,1,358.68682318822675
2,41,3,2,1,1,653.5318660722555
2,32,3,4,1,1,987.1798545336748
2,28,5,4,1,1,1338.3940201462387
1,30,1,3,1,1,695.8480470798745
1,33,3,5,1,1,1436.9219680375154
2,52,3,1,1,1,509.54390213803197
1,30,4,3,1,1,1243.748708080092
1,36,5,4,1,1,1630.0952279949415
2,31,3,2,1,1,618.3995117699694
2,30,3,2,1,1,614.8862763397408
2,53,3,2,1,1,695.6906912349989
2,58,3,3,1,1,895.8904220528804
2,38,5,5,1,1,1556.159928115263
2,51,1,5,1,1,871.2977740412787
1,27,1,1,1,1,320.0412334557119
1,43,4,5,1,1,1654.687876006541
1,35,2,5,1,1,1261.3148852312338
2,42,3,4,1,1,1022.3122088359609
1,67,5,2,1,1,1373.7384189985519
2,20,2,5,1,1,945.0210293709307
2,26,5,3,1,1,1148.733995619043
1,25,1,4,1,1,860.9154235954699
1,28,5,4,1,1,1601.9893445531125
1,60,1,1,2,1,20.240983555980506
1,25,3,1,1,1,678.281869928733
1,86,2,3,1,1,1075.2227848394164
2,41,3,5,1,1,1201.4325270724707
1,33,5,5,2,2,1386.4520562737182
1,26,4,1,1,1,864.4286590257009
1,57,5,2,1,1,1338.6060646962655
2,53,4,2,1,1,878.3242449017381
1,28,4,4,1,1,1419.3557908863731
2,30,3,3,1,1,797.5198300064791
1,71,4,3,1,1,1387.7913607194655
1,88,3,3,1,1,1264.8828093666125
1,25,4,5,2,1,1175.71261916515
1,33,1,3,1,1,706.3877533705604
2,35,5,1,1,1,815.0860071576238
1,37,2,5,1,1,1268.341356091691
1,75,3,3,1,1,1219.2107487736407
1,40,4,1,1,1,913.6139550489014
1,50,4,4,1,1,1496.6469703514026
1,27,1,3,1,1,685.3083407891887
1,51,4,4,1,1,1500.1602057816312
2,63,3,5,1,1,1278.7237065375002
2,32,1,4,1,1,621.9127472001965
2,81,5,5,1,1,1707.2290516150938
2,83,3,3,2,1,567.98428871132
1,56,1,3,1,1,787.1921682658185
2,55,5,3,1,1,1250.617823095673
2,28,2,4,1,1,790.4933591460211
2,36,1,1,1,1,88.06502792089577
1,28,4,4,2,1,1003.6187717890975
1,32,1,1,1,1,337.60741060685507
1,23,3,4,1,1,1219.1560600684911
1,37,5,1,1,1,1085.707802424955
1,28,4,4,1,1,1419.3557908863731
2,32,5,3,1,1,1169.8134082004149
2,40,3,1,1,1,467.38507697528854
1,35,4,4,2,1,1028.2114198006977
1,20,1,4,1,1,843.3492464443268
1,43,3,3,2,1,691.0501959090491
2,26,3,1,1,1,418.19978095208796
2,30,5,2,1,1,980.1533836732192
1,27,1,2,1,1,502.6747871224503
1,26,5,3,1,1,1412.3293200259168
2,38,2,1,1,1,277.7250524480922
1,28,2,5,1,1,1236.7222372196334
2,40,3,5,1,1,1197.9192916422421
1,22,2,1,1,1,485.108609971308
1,30,2,2,1,2,695.8480470798753
2,53,3,2,1,1,695.6906912349989
2,60,4,1,1,1,720.2833392466
2,33,5,5,1,1,1538.5937509641203
2,30,4,5,2,1,929.6834719094193
2,38,1,3,1,1,460.35860611482974
2,31,3,4,1,1,983.6666191034461
1,57,4,1,2,1,557.6019382655122
1,42,4,5,1,1,1651.1746405763124
1,50,5,4,1,1,1679.280524018142
2,76,3,3,1,1,959.1286597969954
2,38,2,5,1,1,1008.2592671150456
2,36,2,1,1,1,270.6985815876349
2,30,4,3,1,1,980.1533836732183
1,32,1,4,2,1,469.77105250979446
2,75,2,1,1,1,407.7147633665509
1,57,4,4,2,1,1105.5025992657272
1,38,4,4,1,1,1454.4881451886595
2,27,5,5,1,1,1517.5143383827485
1,53,4,5,1,1,1689.820230308827
1,52,2,2,1,1,773.139226544905
1,20,1,1,1,1,295.4485854441116
1,28,2,5,1,1,1236.7222372196334
1,28,3,2,1,1,871.4551298861572
1,36,2,3,1,1,899.5610133279853
1,72,2,2,2,1,427.6669160522015
2,61,1,3,1,1,541.163021010088
2,38,4,3,1,1,1008.2592671150472
2,53,5,2,1,1,1060.9577985684773
1,53,4,3,1,1,1324.55312297535
1,57,3,2,1,1,973.338957362787
1,67,1,1,1,1,460.57065066485654
2,55,2,2,2,1,104.3465893314413
1,33,1,1,1,1,341.1206460370836
1,55,2,5,1,1,1331.579593835806
2,72,1,4,1,1,762.4421644093411
1,75,2,3,1,1,1036.5771951069014
2,23,3,5,1,1,1138.1942893283556
1,31,4,2,1,1,1064.6283898435822
2,37,4,4,1,1,1187.3795853515571
2,31,2,5,1,1,983.6666191034454
2,51,1,4,2,1,272.92720127726443
1,20,1,5,1,1,1025.9828001110652
2,35,1,4,1,1,632.4524534908824
2,57,1,1,1,1,161.84297195569673
2,36,5,3,1,1,1183.8663499213294
2,62,5,1,1,1,909.9433637737965
1,43,2,1,1,1,558.886554006109
1,41,5,4,1,1,1647.6614051460842
1,53,5,4,1,2,1689.8202303088278
1,35,3,1,1,1,713.4142242310191
1,26,2,3,1,1,864.4286590256992
2,25,2,4,1,1,779.9536528553352
1,31,2,4,1,1,1064.6283898435809
2,36,4,4,1,1,1183.8663499213285
2,30,3,1,1,1,432.2527226730024
1,31,4,2,2,1,648.8913707463066
1,26,1,1,2,1,-99.20902107179234
1,20,2,1,1,1,478.0821391108508
2,31,5,2,1,1,983.6666191034477
1,38,2,2,1,1,723.9539305217043
1,31,3,5,1,1,1429.8954971770581
1,20,3,5,2,1,975.5128883472678
2,35,3,3,1,1,815.0860071576222
2,37,2,2,1,1,456.84537068460196
2,28,1,1,1,1,59.95914447906688
1,50,3,5,1,1,1496.6469703514022
1,32,5,2,1,1,1250.7751789405502
1,28,5,2,1,1,1236.7222372196356
1,55,3,2,1,1,966.3124865023299
2,40,1,1,1,1,102.11796964181025
2,60,2,5,1,1,1085.5504465800755
2,22,4,5,2,1,901.5775884675907
2,31,2,3,1,1,618.3995117699685
1,21,1,1,1,1,298.9618208743402
1,30,3,3,1,1,1061.1151544133527
2,37,2,1,2,1,-141.5252020794121
2,30,5,2,1,1,980.1533836732192
2,42,5,3,1,1,1204.9457625027007
2,37,2,4,1,1,822.1124780180786
2,31,3,1,1,1,435.765958103231
1,62,5,4,1,1,1721.4393491808855
1,21,5,3,1,1,1394.7631428747736
2,31,5,5,2,1,1115.8302610063872
1,26,5,5,1,1,1777.5964273593936
1,22,3,3,1,1,1033.009270971524
1,38,4,2,1,1,1089.2210378551827
2,27,1,3,1,1,421.713016382315
1,33,3,2,2,1,473.28428794002457
2,36,5,3,1,1,1183.8663499213294
1,42,3,4,1,1,1285.9075332428347
1,37,2,3,1,1,903.0742487582139
1,61,4,2,1,1,1170.0254527504408
1,32,5,5,1,1,1798.6758399407654
1,38,3,5,1,1,1454.4881451886586
2,23,4,2,1,1,772.9271819948797
2,68,3,1,1,1,565.7556690216898
1,80,3,1,1,1,871.5098185913068
2,38,3,2,2,1,227.25514068429402
1,27,1,3,1,1,685.3083407891887
2,27,5,4,1,1,1334.88078471601
2,23,5,2,1,1,955.5607356616189
1,41,1,3,1,1,734.4936368123892
1,38,4,4,1,1,1454.4881451886595
2,37,5,3,1,1,1187.379585351558
2,26,1,2,1,1,235.56622728534802
2,57,3,2,1,1,709.7436329559133
2,33,5,4,1,1,1355.960197297382
1,72,3,5,1,1,1573.9381498164316
